success,formasi_id,pendidikan_nm,pendidikan_count
True,8a0384b491502874019153cc09b81206,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a01869291548667019154bf70a1356b,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a01869291548667019154d42dbf5e7a,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a01869291548667019154ee978d11a2,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a01869291548667019154f7aa581f49,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a018692915486670191555cca7822f1,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a0384be915951ce0191596d4a17136c,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,6
True,8a01869291548667019154c1133f38ba,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
True,8a028492914fb63b01914fc457c209e1,S-1 TEKNIK INFORMATIKA / S-1 ILMU KOMPUTER / S-1 ILMU INFORMATIKA / S-1 ILMU KOMPUTASI / D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 TEKNIK KOMPUTER,9
True,8a01869291548667019154c4fba83f7e,D-IV TEKNIK INFORMATIKA / S-1 SISTEM DAN TEKNOLOGI INFORMASI / S-1 SISTEM INFORMASI / S-1 ILMU INFORMATIKA / S-1 TEKNIK INFORMATIKA / S-1 TEKNIK KOMPUTER / S-1 ILMU KOMPUTASI / S-1 ILMU KOMPUTER / S-1 TEKNOLOGI INFORMASI,9
