variable,cepat_kode,nama,tingkat_pendidikan_id
T,2005001,SLTP/SMP SEDERAJAT,10
R,3004036,PAKET C,15
R,3000003,PERSAMAAN SLTA,15
R,3004000,PERSAMAAN SLTA (PAKET C),15
R,3001000,SEKOLAH MENENGAH ATAS,15
R,3108100,SEKOLAH PELAYARAN MENENGAH ATAS,15
R,3106400,SEKOLAH PETERNAKAN MENENGAH ATAS,15
R,3004015,SLTA,15
R,3100120,SLTA BIDANG ILMU MESIN,15
R,3100000,SLTA KEJURUAN,15
R,3106000,SLTA PERTANIAN,15
R,3000140,SLTA SEDERAJAT,15
R,3000005,SLTA SEMUA JURUSAN,15
R,3000000,SLTA UMUM,15
R,3000006,SLTA/SMA SEDERAJAT,15
R,3004038,SMA BIOLOGI,15
R,3001005,SMA IPA,15
R,3004002,SMA IPS,15
R,3005001,SMA KIMIA,15
R,3000049,SMA/MA (IPA DAN IPS),15
R,3109814,SMK KEUANGAN,15
R,3101534,SMK MANAJEMEN BISNIS,15
R,3106412,SMK PERIKANAN,15
R,3101537,SMK TEKNIK LISTRIK,15
R,3109650,STM MESIN PRODUKSI,15
R,3004039,SUPM,15
R,3106527,SUPM BUDIDAYA PERIKANAN,15
R,3106526,SUPM MESIN PERIKANAN,15
R,3106525,SUPM PENANGKAPAN IKAN,15
R,3106528,SUPM PENGOLAHAN HASIL PERIKANAN,15
P,3171022,SEKOLAH MENENGAH ANALIS KIMIA,17
P,3100006,SEKOLAH MENENGAH KEJURUAN,17
P,3190097,SEKOLAH MENENGAH KEJURUAN BIDANG KESEHATAN HEWAN,17
P,3331002,SEKOLAH MENENGAH TEKNOLOGI INDUSTRI (SMTI),17
P,3100393,SLTA KEJURUAN MEKANIK OTOMOTIF,17
P,3101500,SMK,17
P,3110004,SMK ADMINISTRASI PERKANTORAN,17
P,3100031,SMK AGRIBISNIS PERIKANAN,17
P,3190002,SMK AGROBISNIS PRODUKSI TERNAK,17
P,3101532,SMK AKUNTANSI,17
P,3100051,SMK AUDIO VIDEO,17
P,3190003,SMK BAHASA,17
P,3110019,SMK BANGUNAN,17
P,3109999,SMK BISNIS DAN MANAJEMEN,17
P,3190004,SMK BISNIS KONSTRUKSI DAN PROPERTI,17
P,3190005,SMK BUDIDAYA AIR PAYAU DAN LAUT,17
P,3180013,SMK BUDIDAYA IKAN AIR TAWAR,17
P,3190006,SMK BUDIDAYA IKAN LAUT,17
P,3190007,SMK BUDIDAYA KELAUTAN,17
P,7609224,SMK BUDIDAYA PERIKANAN,17
P,3171055,SMK BUDIDAYA TERNAK,17
P,3190009,SMK DESAIN DAN TEKNIK FURNITUR,17
P,3190010,SMK DESAIN GAMBAR MESIN,17
P,3190011,SMK DESAIN GRAFIS,17
P,3190012,SMK DESAIN INTERIOR,17
P,3190013,SMK DESAIN INTERIOR DAN TEKNIK FURNITUR,17
P,3190014,SMK DESAIN PEMODELAN DAN INFORMASI BANGUNAN,17
P,3171105,SMK ELEKTRO,17
P,3190015,SMK ELEKTRO OTOMOTIF,17
P,3110014,SMK ELEKTRONIKA,17
P,3190098,SMK ELEKTRONIKA AUDIO VIDEO,17
P,3190099,SMK ELEKTRONIKA INDUSTRI,17
P,3100043,SMK FARMASI,17
P,3171103,SMK GEOLOGI PERTAMBANGAN,17
P,3100121,SMK GEOMATIKA,17
P,3190017,SMK INFORMASI GEOSPASIAL,17
P,3190019,SMK INSTRUMENTASI LOGAM,17
P,3171020,SMK JASA BOGA,17
P,3171083,SMK KEHUTANAN,17
P,3171069,SMK KIMIA,17
P,3190020,SMK KIMIA ANALISIS,17
P,3180001,SMK KONSTRUKSI GEDUNG DAN SANITASI,17
P,3190021,"SMK KONSTRUKSI GEDUNG, SANITASI DAN PERAWATAN",17
P,3180002,SMK KONSTRUKSI JALAN DAN JEMBATAN,17
P,3190022,"SMK KONSTRUKSI JALAN, IRIGASI, DAN JEMBATAN",17
P,3190023,SMK KONTROL MEKANIK,17
P,3110003,SMK LISTRIK,17
P,3190025,SMK LISTRIK DAN INSTALASI,17
P,3190027,SMK MADRASAH ALIYAH ILMU AGAMA,17
P,3190028,SMK MADRASAH ALIYAH IPS,17
P,3101501,SMK MESIN,17
P,3171032,SMK MULTIMEDIA,17
P,3110017,SMK NAUTIKA,17
P,3171128,SMK NAUTIKA PENANGKAPAN IKAN,17
P,3110006,SMK NAUTIKA PERIKANAN LAUT,17
P,3110001,SMK OTOMOTIF,17
P,3109998,SMK PELAYARAN,17
P,3171007,SMK PELAYARAN NAUTIKA,17
P,3171008,SMK PELAYARAN TEKNIKA,17
P,3171078,SMK PEMASARAN,17
P,3171067,SMK PENERBANGAN,17
P,3110016,SMK PENJUALAN,17
P,3190034,SMK PERABOT KAYU,17
P,3100017,SMK PERHOTELAN,17
P,3180003,SMK PERIKANAN BUDIDAYA,17
P,3110021,SMK PERIKANAN DAN KELAUTAN,17
P,3171093,SMK PERMESINAN PERIKANAN,17
P,3180004,SMK PERPETAAN,17
P,3106411,SMK PERTANIAN,17
P,3106410,SMK PETERNAKAN,17
P,3100016,SMK REKAYASA PERANGKAT LUNAK,17
P,3171051,SMK SEKRETARIS,17
P,3171050,SMK TATA BOGA,17
P,3190001,SMK TEKNIK,17
P,3190036,SMK TEKNIK ALAT BERAT,17
P,3110007,SMK TEKNIK AUDIO VIDEO,17
P,3190039,SMK TEKNIK BANGUNAN/MULTIMEDIA/DESAIN GRAFIS,17
P,3190040,SMK TEKNIK BODI KENDARAAN RINGAN,17
P,3190043,SMK TEKNIK DAN MANAJEMEN PERAWATAN OTOMOTIF,17
P,3110002,SMK TEKNIK ELEKTRO,17
P,3100070,SMK TEKNIK ELEKTRONIKA,17
P,3190050,SMK TEKNIK FABRIKASI LOGAM,17
P,3190052,SMK TEKNIK FURNITUR,17
P,3100035,SMK TEKNIK GAMBAR BANGUNAN,17
P,3190053,SMK TEKNIK GAMBAR MESIN,17
P,3190054,SMK TEKNIK GEOMATIKA,17
P,3171079,SMK TEKNIK INFORMATIKA,17
P,3100426,SMK TEKNIK INSTALASI LISTRIK,17
P,3171097,SMK TEKNIK INSTALASI TENAGA LISTRIK,17
P,3100302,SMK TEKNIK JARINGAN TENAGA LISTRIK,17
P,3100023,SMK TEKNIK KENDARAAN RINGAN,17
P,3190058,SMK TEKNIK KENDARAAN RINGAN OTOMOTIF,17
P,2110307,SMK TEKNIK KIMIA,17
P,3171033,SMK TEKNIK KOMPUTER DAN INFORMATIKA,17
P,5000248,SMK TEKNIK KOMPUTER DAN JARINGAN,17
P,3110010,SMK TEKNIK KOMPUTER JARINGAN,17
P,3190059,SMK TEKNIK KONSTRUKSI BAJA,17
P,3190060,SMK TEKNIK KONSTRUKSI BANGUNAN SEDERHANA,17
P,3171087,SMK TEKNIK KONSTRUKSI BATU DAN BETON,17
P,3190061,SMK TEKNIK KONSTRUKSI DAN PERUMAHAN,17
P,3171088,SMK TEKNIK KONSTRUKSI KAYU,17
P,3190063,SMK TEKNIK MEKANIK INDUSTRI,17
P,3110008,SMK TEKNIK MESIN,17
P,3100001,SMK TEKNIK MESIN OTOMOTIF,17
P,3171104,SMK TEKNIK MESIN PERKAKAS,17
P,3171100,SMK TEKNIK OTOMOTIF,17
P,3190067,SMK TEKNIK PEKERJAAN FINISHING,17
P,3190069,SMK TEKNIK PEMBANGKIT TENAGA LISTRIK,17
P,3100110,SMK TEKNIK PEMESINAN,17
P,3110098,SMK TEKNIK PENDINGIN DAN TATA UDARA,17
P,3190075,SMK TEKNIK PENGELASAN,17
P,3180007,SMK TEKNIK PERAWATAN GEDUNG,17
P,3171009,SMK TEKNIK PERKAPALAN,17
P,3190078,SMK TEKNIK PLAMBING DAN SANITASI,17
P,3190079,SMK TEKNIK SURVEI DAN PEMETAAN,17
P,3110018,SMK TEKNIK TELEKOMUNIKASI,17
P,3190080,SMK TEKNIK TENAGA LISTRIK,17
P,3171122,SMK TEKNIKA KAPAL PENANGKAP IKAN,17
P,3190082,SMK TEKNIS MESIN,17
P,3171092,SMK TEKNOLOGI PENANGKAPAN IKAN,17
P,317094,SMK TEKNOLOGI PENGOLAHAN HASIL PERIKANAN,17
P,3190083,SMK TEKNOLOGI PERIKANAN BUDIDAYA,17
P,3100153,SMK/MAK TEKNIK ALAT BERAT,17
P,3190085,SPMA SEDERAJAT,17
P,3171038,SPP PETERNAKAN,17
P,3190087,SUPM AKUAKULTUR,17
P,3190088,SUPM MESIN,17
P,3180008,SUPM NAUTIKA KAPAL PENANGKAPAN IKAN,17
P,3190089,SUPM NAUTIKA PERIKANAN,17
P,3100007,SUPM NAUTIKA PERIKANAN LAUT,17
P,3180009,SUPM PERIKANAN BUDIDAYA,17
P,3190090,SUPM PERIKANAN DAN KELAUTAN,17
P,3190091,SUPM PERMESINAN PERIKANAN,17
P,3190093,SUPM TEKNIK PERMESINAN,17
P,3190094,SUPM TEKNIKA KAPAL PENANGKAP IKAN,17
P,2100004,SUPM TEKNIKA PERIKANAN LAUT,17
P,3171106,SUPM TEKNOLOGI BUDIDAYA PERIKANAN,17
P,3190095,SUPM TEKNOLOGI HASIL PERIKANAN,17
P,3190096,SUPM TEKNOLOGI PENANGKAPAN IKAN,17
P,3100103,SUPM TEKNOLOGI PENGOLAHAN HASIL PERIKANAN,17
O,3171064,SMK ANALIS KIMIA,18
O,3100008,SMK BANGUNAN GEDUNG,18
O,3171091,SMK MESIN PRODUKSI,18
L,4000048,D-II PENERBANG SAYAP TETAP,25
L,4017054,D-II PENGUJIAN KENDARAAN BERMOTOR,25
u,4413000,D-III ADMINISTRASI,30
u,4413091,D-III ADMINISTRASI BISNIS,30
u,4100139,D-III ADMINISTRASI KEARSIPAN,30
u,4413050,D-III ADMINISTRASI KESEKRETARIATAN,30
u,4480122,D-III ADMINISTRASI LAYANAN KESEHATAN,30
u,4413070,D-III ADMINISTRASI LOGISTIK,30
u,4400196,D-III ADMINISTRASI NEGARA,30
u,4413020,D-III ADMINISTRASI NEGARA,30
u,4480210,D-III ADMINISTRASI NEGARA,30
u,4413101,D-III ADMINISTRASI NIAGA,30
u,4400259,D-III ADMINISTRASI PAJAK,30
u,4413090,D-III ADMINISTRASI PERBANKAN,30
u,4413040,D-III ADMINISTRASI PERKANTORAN,30
u,4100847,D-III ADMINISTRASI PERKANTORAN DAN SEKRETARI,30
u,4480123,D-III ADMINISTRASI PERKANTORAN KEIMIGRASIAN,30
u,4413092,D-III ADMINISTRASI PERPAJAKAN,30
u,4470137,D-III ADMINISTRASI PUBLIK,30
u,4480212,D-III ADMINISTRASI PUBLIK,30
u,4411001,D-III ADMINISTRASI RUMAH SAKIT,30
u,4407000,D-III AGAMA,30
u,4415025,D-III AGRIBISNIS,30
u,4100721,D-III AGRIBISNIS KELAPA SAWIT,30
u,4470888,D-III AGRIBISNIS PERIKANAN,30
u,4415027,D-III AGRIBISNIS PETERNAKAN,30
u,4100054,D-III AGROBISNIS,30
u,4100034,D-III AGROBISNIS PERTANIAN,30
u,4100967,D-III AGROEKOTEKNOLOGI,30
u,4480213,D-III AGROEKOTEKNOLOGI (MINAT HAMA DAN PENYAKIT TUMBUHAN),30
u,4415028,D-III AGROINDUSTRI,30
u,4415011,D-III AGRONOMI,30
u,4400124,D-III AGROTEKNOLOGI,30
u,4480214,D-III AGROTEKNOLOGI (MINAT HAMA DAN PENYAKIT TUMBUHAN),30
u,4301120,D-III AKADEMI KESEHATAN LINGKUNGAN,30
u,4480360,D-III AKADEMI TEKNIK ELEKTROMEDIK,30
u,4401044,D-III AKUNTANSI,30
u,4475159,D-III AKUNTANSI PERPAJAKAN,30
u,4411013,D-III AKUPUNKTUR,30
u,4480124,D-III AKUPUNTUR,30
u,4100610,D-III ALAT BERAT,30
u,4470003,D-III ANALIS FARMASI,30
u,4431010,D-III ANALIS FARMASI DAN MAKANAN,30
u,4411011,D-III ANALIS KESEHATAN,30
u,4430012,D-III ANALIS KIMIA,30
u,4470164,D-III ANALIS LINGKUNGAN,30
u,4400002,D-III ANALIS MEDIS,30
u,4100611,D-III ANALISA FARMASI DAN MAKANAN,30
u,4470140,D-III ANALISIS KIMIA,30
u,4415701,D-III ANALISIS LINGKUNGAN,30
u,4100612,D-III ANIMASI,30
